trabalhoCompletoEmCongresso	Iara Augustin	2007		Towards Pervasive Applications in a Grid Computing Environment	XXXIII Conferencia Latinoamericana de Informática (CLEI 2007)	LOPES, João Ladislau ; YAMIN, Adenauer Correa ; AUGUSTIN, I. ; FRAINER, Gustavo ; SILVA, Luciano Cavalheiro ; GEYER, Cláudio F R	B4	Conferencia Latinoamericana de Informática
trabalhoCompletoEmCongresso	Iara Augustin	2007		Projeto CONVERGE UFSM - Rede de Sensores-Atuadores para Controle de Acesso em Laboratórios Usando VoIP e Wireless	VI Simpósio de Informática da Região Centro/RS (SIRC)	ROCHA, Cristiano Cortez da ; OLIVEIRA, Rodolfo Leffa ; VIERA, Matheus Anversa ; AUGUSTIN, I. ; STEIN, Benhur Oliveira ; LIMA, João Carlos Damasceno	Qualis nao identificado	VI Simpósio de Informática da Região Centro/RS (SIRC)
trabalhoCompletoEmCongresso	Iara Augustin	2007		Utilizando Adaptação Consciente da Aplicação no Acesso a Arquivos em um Ambiente Pervasivo	VIII Workshop em Sistemas Computacionais de Alto Desempenho	FRAINER, Gustavo ; SILVA, Luciano Cavalheiro da ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio Resin	Qualis nao identificado	VIII Workshop em Sistemas Computacionais de Alto Desempenho
trabalhoCompletoEmCongresso	Iara Augustin	2007		Emprego de Código de Barras Bidimensionais para Conferência da Autenticidade de Certificados Digitais	VI Simpósio de Informática da Região Centro/RS	VICENTINI, Caroline F. ; AVELAR, Francisco Tiago ; LIMA, João Carlos Damasceno ; AUGUSTIN, I.	Qualis nao identificado	VI Simpósio de Informática da Região Centro/RS
trabalhoCompletoEmCongresso	Iara Augustin	2007		Análise Comparativa de Detectores de Falha para Redes Móveis	VI Simpósio de Informática da Região Centro/RS	LORENZI, Fabio ; RIZZETTI, Thiago Antonio ; FERREIRA, Giuliano Lopes ; AUGUSTIN, I. ; NUNES, Raul Ceretta	Qualis nao identificado	VI Simpósio de Informática da Região Centro/RS
trabalhoCompletoEmCongresso	Iara Augustin	2007		Aplicando Topic Maps a Ambientes Sensíveis a Contexto	I Workshop on Pervasive and Ubiquitous Computing	Librelotto, G. R. ; AUGUSTIN, I. ; TURCHETTI, Rogerio ; MARTINS, Mirkos Ortiz ; SARAIVA, Jonatas ; LORENZI, Fabio	Qualis nao identificado	I Workshop on Pervasive and Ubiquitous Computing
trabalhoCompletoEmCongresso	Iara Augustin	2007		Uma abordagem baseada em Ontologias para Sensibilidade ao Contexto na Computação Pervasiva	I Workshop on Pervasive and Ubiquitous Computing	LOPES, João Ladislau ; PALAZZO, L. A. M. ; Librelotto, G. R. ; AUGUSTIN, I. ; YAMIN, Adenauer Correa	Qualis nao identificado	I Workshop on Pervasive and Ubiquitous Computing
trabalhoCompletoEmCongresso	Iara Augustin	2006		Learning in a Large-Scale Pervasive Environment	IEEE International Conference on Pervasive Computing and Communications 2006 - 2nd Workshop on Pervasive Learning (PerEL)	BARBOSA, Debora Nice Ferrari ; AUGUSTIN, I. ; BARBOSA, Jorge V ; SILVA, Luciano Cavalheiro da ; YAMIN, Adenauer Correa ; GEYER, Cláudio F Resin	A2	International Conference on Pervasive Computing
trabalhoCompletoEmCongresso	Iara Augustin	2006		Computação Pervasiva: como programar aplicações	X Simposio Brasileiro de Linguagens de Programação (SBLP)	AUGUSTIN, I. ; YAMIN, Adenauer Correa ; LIMA, João Carlos Damasceno	B3	Simpósio Brasileiro de Linguagens de Programação
trabalhoCompletoEmCongresso	Iara Augustin	2006		A Proposal to Support Pervasive Learning	XXXII Conferencia Latinoamericana de Informática	BARBOSA, Debora Nice Ferrari ; BARBOSA, Jorge V ; AUGUSTIN, I. ; SILVA, Luciano Cavalheiro da ; GEYER, Cláudio F Resin	B4	Conferencia Latinoamericana de Informática
trabalhoCompletoEmCongresso	Iara Augustin	2006		Serviço de Autenticação em Espaços Pervasivos, o caso do projeto pBuy	V Simpósio de Informática da Região Centro do RS	AUGUSTIN, I. ; LIMA, João Carlos Damasceno ; ARAUJO NETO, Edmar Pessoa ; SILVA, Fábio Lorenzi da ; TIETBOHL, Luzandro Candido ; ROCHA, Cristiano Cortez da ; , Francisco Tiago Machado de Avelar	Qualis nao identificado	V Simpósio de Informática da Região Centro do RS
trabalhoCompletoEmCongresso	Iara Augustin	2006		Ambiente Colaborativo P2P parao projeto PDCSE	V Simpósio de Informática da Região Centro do RS	AUGUSTIN, I. ; RIZZETTI, Thiago Antonio ; LIMA, João Carlos Damasceno ; TROIS, Celio	Qualis nao identificado	V Simpósio de Informática da Região Centro do RS
trabalhoCompletoEmCongresso	Iara Augustin	2006		JWebTester - Ferramenta para Testes de Aceitação Automatizados em Aplicações Web	V Simpósio de Informática da Região Centro do RS	AUGUSTIN, I. ; LIMA, João Carlos Damasceno ; CORREAL, Julio ; RISS, Marcelo Aita ; ARAUJO NETO, Edmar Pessoa ; RIZZETTI, Thiago Antonio	Qualis nao identificado	V Simpósio de Informática da Região Centro do RS
trabalhoCompletoEmCongresso	Iara Augustin	2005		Disseminando Informações na Arquitetura ISAM. 	XXV Congresso Sociedade Brasileira de Computação - XXXII SEMISH	MORAES, Mauricio C ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; SILVA, Luciano Cavalheiro da ; GEYER, Cláudio Resin	Qualis nao identificado	XXV Congresso Sociedade Brasileira de Computação - XXXII SEMISH
trabalhoCompletoEmCongresso	Iara Augustin	2005		Um serviço adaptativo para descoberta de recursos em larga escala na arquitetura ISAM	SBRC 2005 - Workshop em Peer-to-Peer (WP2P)	S FILHO, Alberto Egon ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F R ; SILVA, Luciano Cavalheiro da	B5	WP2P
trabalhoCompletoEmCongresso	Iara Augustin	2005		Applying the ISAM Architecture for Genetic Alignment in a Grid Environment. 	III WORKSHOP DE GRADE COMPUTACIONAL E APLICAÇÕES (WGCA)	S FILHO, Alberto Egon ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F Resin ; SILVA, Luciano Cavalheiro da	Qualis nao identificado	III WORKSHOP DE GRADE COMPUTACIONAL E APLICAÇÕES (WGCA)
trabalhoCompletoEmCongresso	Iara Augustin	2005		GRADEp: Towards Pervasive Grid Executions	III WORKSHOP DE GRADE COMPUTACIONAL E APLICAÇÕES (WGCA)	SILVA, Luciano Cavalheiro da ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F Resin ; S FILHO, Alberto Egon ; PIRES, Rafael Pereira ; REAL, Rodrigo Araujo	Qualis nao identificado	III WORKSHOP DE GRADE COMPUTACIONAL E APLICAÇÕES (WGCA)
